horizon,model,seed,mse,mae
90,lstm,2026,246126.90625,385.2267150878906
90,lstm,2027,259597.1875,400.8558044433594
90,lstm,2028,247100.03125,386.4888916015625
90,lstm,2029,249032.796875,386.15081787109375
90,lstm,2030,239389.390625,381.5890197753906
90,transformer,2026,333363.5625,468.118408203125
90,transformer,2027,306711.125,450.4022521972656
90,transformer,2028,346419.5625,473.6305236816406
90,transformer,2029,306679.15625,445.8697814941406
90,transformer,2030,243392.15625,384.2870178222656
90,cnn_transformer,2026,346030.90625,470.6590576171875
90,cnn_transformer,2027,544656.0,605.6978149414062
90,cnn_transformer,2028,446278.84375,544.90087890625
90,cnn_transformer,2029,468187.125,556.1578979492188
90,cnn_transformer,2030,421751.5,525.6080322265625
365,lstm,2026,326411.34375,437.251708984375
365,lstm,2027,554468.5625,602.7415161132812
365,lstm,2028,567222.25,607.7631225585938
365,lstm,2029,222508.671875,352.5518798828125
365,lstm,2030,485313.125,561.2598266601562
365,transformer,2026,201244.609375,340.599609375
365,transformer,2027,251534.703125,395.0411071777344
365,transformer,2028,307467.90625,432.43121337890625
365,transformer,2029,383897.34375,495.8457946777344
365,transformer,2030,230236.828125,360.8744812011719
365,cnn_transformer,2026,536740.875,600.2444458007812
365,cnn_transformer,2027,457860.59375,552.11279296875
365,cnn_transformer,2028,657663.1875,674.5568237304688
365,cnn_transformer,2029,419064.03125,524.8516845703125
365,cnn_transformer,2030,613221.625,648.2278442382812
